Sample,Condition
GSM3417066,Control
GSM3417067,Control
GSM3417068,Control
GSM3417069,Control
GSM3417070,Control
GSM3417071,Case
GSM3417072,Case
GSM3417073,Case
GSM3417074,Case
GSM3417075,Case
GSM3417076,Case
GSM3417077,Case
GSM3417078,Case
GSM3417079,Case
GSM3417080,Control
GSM3417081,Control
GSM3417082,Control
GSM3417083,Control
GSM3417084,Control
GSM3417085,Control
GSM3417086,Case
GSM3417087,Case
GSM3417088,Case
GSM3417089,Case
GSM3417090,Case
GSM3417091,Case
GSM3417092,Case
GSM3417093,Case
GSM3417094,Case
GSM3417095,Case
